# Trim_Forces           
# Time                  	total_x                 	total_y                 	total_z                 
9.199999809265137e+00	+3.012171601746039e-02	+4.498596759278811e-01	+8.104946056532837e-19
9.300000190734863e+00	+3.288413253410090e-02	+4.759439485750881e-01	+7.395946441351842e-19
9.399999618530273e+00	+3.288546616392522e-02	+4.765050909497373e-01	+7.398678929979284e-19
9.500000000000000e+00	+3.270075785410174e-02	+4.755711135714913e-01	+7.437706609291332e-19
9.600000381469727e+00	+3.256858508764258e-02	+4.749870789360839e-01	+7.462507206345050e-19
9.699999809265137e+00	+3.254334234950139e-02	+4.748623082102794e-01	+7.473458771630593e-19
9.800000190734863e+00	+3.249055250239334e-02	+4.745651176017480e-01	+7.482155937473572e-19
9.899999618530273e+00	+3.240415793532104e-02	+4.736998178716985e-01	+7.495011617530968e-19
1.000000000000000e+01	+3.231642714216768e-02	+4.731485839945546e-01	+7.520229002809297e-19
  1.0100000381469727e+01	+2.540365922424740e-02	+6.453651363356675e-01	+8.973265730709870e-19
1.019999980926514e+01	+1.567880600128580e-02	-1.495208185333884e-01	+1.012832246309588e-18
1.030000019073486e+01	+1.715512929931033e-02	-1.731673412563605e-02	+9.709364052994657e-19
1.039999961853027e+01	+1.761802133489762e-02	-3.995665563856914e-02	+1.056793532708868e-18
1.050000000000000e+01	+1.759003629849146e-02	-3.748168782236361e-02	+1.087577873965996e-18
1.060000038146973e+01	+1.700827492938313e-02	-2.913498640595038e-02	+1.082446945224176e-18
1.069999980926514e+01	+1.718914054961204e-02	-2.701817206597649e-02	+1.122132061850587e-18
1.080000019073486e+01	+1.715660160422709e-02	-1.948406921369340e-02	+1.118179590877718e-18
1.089999961853027e+01	+1.740788979827767e-02	-2.083540323186878e-02	+1.133395279680851e-18
1.100000000000000e+01	+1.726363996754906e-02	-1.916267167001935e-02	+1.136283780203269e-18
1.110000038146973e+01	+1.750548309883321e-02	-1.708977826898461e-02	+1.138276230803977e-18
1.119999980926514e+01	+1.746692329669816e-02	-1.471687790093969e-02	+1.147609843808903e-18
1.130000019073486e+01	+1.768855105541148e-02	-1.311470064207665e-02	+1.167772594529942e-18
1.139999961853027e+01	+1.766660899141647e-02	-7.412723391140272e-03	+1.176676777609069e-18
1.150000000000000e+01	+1.770834285957226e-02	-5.234624711467675e-03	+1.170266656793741e-18
1.160000038146973e+01	+1.781195759075141e-02	-3.543291045294121e-03	+1.165736711744734e-18
1.169999980926514e+01	+1.785962339408957e-02	-3.361792713397365e-04	+1.163169212808435e-18
1.180000019073486e+01	+1.787959850801412e-02	+1.449973587680229e-03	+1.162016625147082e-18
1.189999961853027e+01	+1.787788489522411e-02	+2.569617855392042e-03	+1.159393824724379e-18
1.200000000000000e+01	+1.788149505245702e-02	+3.524246581832660e-03	+1.154773540135992e-18
1.210000038146973e+01	+1.787231237924469e-02	+4.243300081672618e-03	+1.154177564910788e-18
1.219999980926514e+01	+1.788413997773153e-02	+5.380088240501622e-03	+1.151259487648454e-18
1.230000019073486e+01	+1.786515104617469e-02	+5.248271734291493e-03	+1.149147748431615e-18
1.239999961853027e+01	+1.788917058085152e-02	+6.092412992598353e-03	+1.146780155245495e-18
1.250000000000000e+01	+1.775697134388091e-02	+7.941550918269962e-03	+1.142786742663453e-18
1.260000038146973e+01	-5.928167970013834e-02	-2.133234570966071e-01	+1.570322290361799e-19
1.269999980926514e+01	+1.555617206884072e-01	+1.118691091642390e+00	-3.230092883358125e-18
1.280000019073486e+01	+8.844774352116457e-02	+8.931818243122439e-01	-2.993959106787209e-18
1.289999961853027e+01	+7.935139231917875e-02	+9.275600937307794e-01	-3.143296341493472e-18
1.300000000000000e+01	+7.197899052713158e-02	+9.164797690846522e-01	-3.036755170503186e-18
1.310000038146973e+01	+6.792747294773534e-02	+8.874219927047726e-01	-2.789550910773718e-18
1.319999980926514e+01	+6.461707579323525e-02	+8.422203139866878e-01	-2.476513765216571e-18
1.330000019073486e+01	+6.500802160923234e-02	+8.047318212245823e-01	-2.257934477719604e-18
1.339999961853027e+01	+6.610299577244517e-02	+7.609306057024255e-01	-2.074101599083770e-18
