# Trim_Forces           
# Time                  	total_x                 	total_y                 	total_z                 
2.598532438278198e-01	-8.209456303394860e-02	+3.297243538190255e-01	+3.053055993403585e-18
2.611120045185089e-01	-8.995473270930536e-02	+3.283846416137051e-01	+1.678799298827447e-18
2.623707652091980e-01	-9.772846990894482e-02	+3.264460522448951e-01	-3.025847167454225e-19
2.636295258998871e-01	-1.054411096521133e-01	+3.243052916798473e-01	+3.689321042756055e-18
2.648861110210419e-01	-1.131314951312296e-01	+3.220755929164814e-01	-5.332860633528375e-19
2.661427259445190e-01	-1.207682267300555e-01	+3.196991055992098e-01	+3.888569837797370e-18
2.673993408679962e-01	-1.283261867222262e-01	+3.170058041667990e-01	-9.130343891272694e-18
2.686537802219391e-01	-1.358225923214596e-01	+3.141901408618881e-01	+1.371730516253217e-17
2.699082493782043e-01	-1.432451115220966e-01	+3.111476577087178e-01	+2.264825573782194e-18
2.711626887321472e-01	-1.506308970059828e-01	+3.080407045210202e-01	+3.678378234881988e-18
2.724171280860901e-01	-1.578893058435627e-01	+3.046124018576202e-01	+6.682092673381728e-19
2.736694216728210e-01	-1.651064238932822e-01	+3.011231964300621e-01	+3.185696984201546e-18
2.749217152595520e-01	-1.722512461882972e-01	+2.974818524090720e-01	+3.474590579398554e-18
2.761740088462830e-01	-1.789312732915759e-01	+2.928423353348191e-01	+2.456360530712856e-18
2.774263322353363e-01	-1.862407875128907e-01	+2.895583396019612e-01	+1.728789328286680e-18
2.786764502525330e-01	-1.933906079599381e-01	+2.859736801848013e-01	+1.560135889358859e-18
2.799265682697296e-01	-2.000130591257152e-01	+2.813568868753064e-01	+2.533944430387288e-18
2.811766862869263e-01	-2.063481306284529e-01	+2.762986708904350e-01	+1.247728388777993e-18
2.824268341064453e-01	-2.126297781047292e-01	+2.712188113572146e-01	+3.069546336168052e-18
2.836769521236420e-01	-2.189693339284778e-01	+2.662752851464635e-01	+6.621954264037964e-20
2.849270701408386e-01	-2.252746101414250e-01	+2.612930614883519e-01	-9.133959468302469e-18
2.861772179603577e-01	-2.315135982265208e-01	+2.562436434068208e-01	+3.430467167980623e-18
2.874273359775543e-01	-2.375338915651138e-01	+2.509024723432292e-01	+1.303691609104069e-18
2.886774539947510e-01	-2.433247737829559e-01	+2.452911572062117e-01	+2.535717304654641e-18
2.899276018142700e-01	-2.489207071602834e-01	+2.394745033390798e-01	+1.449674243011449e-17
2.911777198314667e-01	-2.539393517003488e-01	+2.330378360098705e-01	+1.955636854470476e-18
2.924278378486633e-01	-2.593015939773854e-01	+2.270475253653323e-01	+1.642702956995761e-18
2.936779856681824e-01	-2.649604996234697e-01	+2.213885562610493e-01	+2.550844109775432e-18
2.949281036853790e-01	-2.702465841836776e-01	+2.153410657910297e-01	+4.037383159069006e-18
2.961782217025757e-01	-2.755678126781493e-01	+2.093443100503135e-01	+1.731803281001303e-18
2.974283695220947e-01	-2.800702825023619e-01	+2.025867873061886e-01	+4.934916413258630e-18
2.986784875392914e-01	-2.841127180302607e-01	+1.954931449536663e-01	+5.245945567108827e-19
2.999286055564880e-01	-2.883860980178601e-01	+1.886452160358556e-01	+1.163689474474665e-18
3.011787533760071e-01	-2.926299561426481e-01	+1.818340731632372e-01	+2.213897049245459e-18
3.024311065673828e-01	-2.966499822424762e-01	+1.748500545632767e-01	+2.362698469851392e-18
3.036834895610809e-01	-3.004800198475809e-01	+1.677652221702446e-01	+2.224286145160688e-18
3.049358427524567e-01	-3.040667158841645e-01	+1.605477938659450e-01	+1.281950756136104e-18
3.061882257461548e-01	-3.075104540603769e-01	+1.532814831067213e-01	-1.039999489443953e-17
3.074428439140320e-01	-3.106434410396230e-01	+1.458409299269060e-01	+1.393504308013349e-17
3.086974620819092e-01	-3.137057072917996e-01	+1.383974785827408e-01	+1.264977071920237e-18
3.099521100521088e-01	-3.166632695727083e-01	+1.309361282829371e-01	+2.670508903620472e-18
3.112090229988098e-01	-3.198031970004433e-01	+1.235800306298090e-01	-8.466322554756493e-18
3.124659359455109e-01	-3.219137752758079e-01	+1.157388484070214e-01	+1.543464382435720e-17
3.137228488922119e-01	-3.240380508495028e-01	+1.079592943376378e-01	+9.110043523394774e-19
3.149820864200592e-01	-3.254806184912126e-01	+9.992192814907883e-02	+2.111867267324235e-18
3.162413239479065e-01	-3.276740673069139e-01	+9.225459123756465e-02	+2.028822521542141e-18
3.175028562545776e-01	-3.295039348777898e-01	+8.445634803277628e-02	+4.228684511068632e-18
3.187644183635712e-01	-3.311699757418915e-01	+7.663129324351482e-02	-1.022001175602103e-17
3.200283050537109e-01	-3.325052981069808e-01	+6.871393359226237e-02	+1.474553427910022e-17
3.212921917438507e-01	-3.336664714037884e-01	+6.077591555891488e-02	+3.578460678955537e-18
3.225584328174591e-01	-3.343165654973024e-01	+5.273495755577951e-02	+2.273474649920444e-18
3.238246738910675e-01	-3.392487413612832e-01	+4.576656765383223e-02	+1.533578929731280e-18
3.250932991504669e-01	-3.341621245258017e-01	+3.645587424584821e-02	-1.145456909422250e-17
3.263619244098663e-01	-3.357724745964290e-01	+2.872865354717032e-02	+1.462735266208527e-17
3.276329338550568e-01	-3.356568363637299e-01	+2.068416997908206e-02	-3.244254937297839e-19
3.289039433002472e-01	-3.352063331656975e-01	+1.263828812227091e-02	+3.069532540985398e-18
3.301773667335510e-01	-3.346376219203288e-01	+4.620494743658025e-03	+4.120809726820610e-18
3.314507901668549e-01	-3.341033604549059e-01	-3.341210866619517e-03	+2.449116570742809e-18
3.327266573905945e-01	-3.334215200028799e-01	-1.128554666996882e-02	+1.570087725292891e-18
3.340049684047699e-01	-3.324321492460260e-01	-1.921969162274996e-02	+2.595139711156023e-18
3.352832496166229e-01	-3.312057477936537e-01	-2.711386028884016e-02	+1.913571971173730e-18
3.365640342235565e-01	-3.293668969811292e-01	-3.498517890654904e-02	-1.643501989866618e-17
3.378447890281677e-01	-3.095513679850712e-01	-4.342888999334860e-02	+1.863561271776773e-17
3.391280472278595e-01	-3.109517061319711e-01	-5.025128674416311e-02	-1.053920471401632e-17
3.404137790203094e-01	-3.032781513117020e-01	-5.721736699123192e-02	+1.522491405387915e-17
3.417045474052429e-01	-2.970663014660658e-01	-6.386292975455042e-02	-1.163942134121581e-17
3.429978787899017e-01	-2.904080334025979e-01	-7.015794617081589e-02	+1.574450014318506e-17
3.442962765693665e-01	-2.812676254420560e-01	-7.577451037344918e-02	-1.059612530513349e-17
3.455998897552490e-01	-2.731974724215247e-01	-8.119016956780487e-02	+1.415231017271769e-17
3.469113111495972e-01	-2.657371249153293e-01	-8.636384599853905e-02	-1.003666298900890e-17
3.482306599617004e-01	-2.575150167791365e-01	-9.104482035794136e-02	+2.390782950667679e-18
3.495581150054932e-01	-2.479033115313745e-01	-9.505160100563907e-02	+2.319036610499211e-18
3.508937060832977e-01	-2.374162064768843e-01	-9.839992414125642e-02	+8.089524784152871e-19
3.522404134273529e-01	-2.269985263292808e-01	-1.013029261254789e-01	-2.531929747568189e-18
3.535983860492706e-01	-2.165324557590074e-01	-1.037119202905271e-01	+1.847206837059656e-17
3.549707829952240e-01	-2.055802995361247e-01	-1.055173231037144e-01	+2.977104507126033e-18
3.563579618930817e-01	-1.940078663560392e-01	-1.065333255923178e-01	+1.235047539772970e-18
3.577602207660675e-01	-1.797113350947204e-01	-1.059106553991581e-01	+2.134741913807842e-18
3.591655492782593e-01	-1.718937986936205e-01	-1.072900591133860e-01	-9.617096208919121e-18
3.605771064758301e-01	-1.619263569947513e-01	-1.072461239167110e-01	+4.427236757202363e-19
3.619917333126068e-01	-1.485064173735678e-01	-1.049948869907174e-01	+3.003712445673810e-18
3.634095489978790e-01	-1.332336356228268e-01	-1.010151289168679e-01	+1.199155492551170e-17
3.648336827754974e-01	-1.212610709311332e-01	-9.797642643505540e-02	+2.639557580184145e-18
3.662610352039337e-01	-1.118669674560307e-01	-9.553515408776521e-02	+1.372298359576622e-17
3.676948249340057e-01	-9.765166277488045e-02	-8.971138120621723e-02	-9.227800584117141e-18
3.691318631172180e-01	-8.672924237686895e-02	-8.496349845689920e-02	-2.896425826686309e-19
3.705755174160004e-01	-7.315924220865562e-02	-7.764005333159606e-02	+2.733277462422919e-18
3.720224499702454e-01	-6.145949010266204e-02	-7.067212085098348e-02	+2.888647766885212e-18
3.734727501869202e-01	-5.030802965392839e-02	-6.320130434662093e-02	-1.106970908849431e-17
3.749297857284546e-01	-3.923914657753284e-02	-5.488684462886703e-02	+1.280473752219432e-17
3.763902485370636e-01	-2.713497923420249e-02	-4.496262041539389e-02	+3.765980099562800e-19
3.778541088104248e-01	-1.590062463580064e-02	-3.458481486974947e-02	+7.867297359118333e-18
3.793249130249023e-01	-6.161240549644774e-03	-2.431279747665575e-02	-6.192815475600565e-18
3.807992041110992e-01	+4.105037954477829e-03	-1.265508767076843e-02	+2.511312476767816e-18
3.822770118713379e-01	+1.537868440304494e-02	+1.179793976200388e-03	-1.017220019543133e-17
3.837583661079407e-01	+2.199362759959523e-02	+1.168932839951613e-02	+1.244270960956406e-17
3.852468729019165e-01	+3.019207690533397e-02	+2.495928191694311e-02	+2.933982768502810e-18
3.867317736148834e-01	+3.846673692190812e-02	+3.941141995935316e-02	-1.056547308428204e-17
3.882130980491638e-01	+4.576991113968443e-02	+5.419379285566596e-02	+1.326502097448459e-17
3.896908462047577e-01	+5.272884489842889e-02	+6.998468015401271e-02	+1.270984852739384e-17
